realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat
798.6314531,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,10,96,1,0.802580631,0.770439938,501.4180886,26.55042096,585.1578449,40.77464051,4.88153,52.37186
264.3357627,Private room,FALSE,TRUE,2,FALSE,0,0,10,98,1,2.004479861,0.655527611,188.6958925,9.991572886,229.8052778,16.01316239,4.91744,52.38337
1941.508682,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,10,100,1,0.516734948,0.292160696,510.5866466,27.0359022,756.6972483,52.72775294,4.89423,52.36864
1450.097251,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,10,99,1,0.875465757,0.325662581,492.0952941,26.0567728,874.5791643,60.94193444,4.89746,52.36583
796.288051,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,99,1,1.714267135,1.726854365,215.050797,11.38708259,277.2320775,19.31793002,4.87726,52.38521
442.6686664,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,89,2,2.582782788,1.282241703,163.0240118,8.632229748,204.6776576,14.26223365,4.85686,52.38009
734.8909146,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,95,2,3.376203744,2.283153282,122.2478668,6.473105777,152.3234809,10.6141193,4.94264,52.37451
540.6228763,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,97,1,2.925821936,0.849131291,193.1111493,10.22536367,245.2963884,17.09260526,4.9008,52.34736
712.8629344,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,100,2,2.248713993,1.699113012,279.3610453,14.79235297,316.4448364,22.05033148,4.86619,52.36152
884.8686523,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,100,2,3.306494133,1.297762058,166.3303483,8.807302461,212.2191425,14.78773518,4.85291,52.35656
264.1014224,Private room,FALSE,TRUE,2,TRUE,1,0,10,99,1,5.272023719,0.739288939,99.65764079,5.276938298,125.3542677,8.734865723,4.858,52.331
538.5138144,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,96,2,2.613537733,0.752603752,177.6596991,9.407199114,226.2031015,15.76215755,4.92176,52.35761
442.6686664,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,2.429470721,1.314269998,162.6628941,8.613108327,198.7965856,13.8524321,4.9277,52.37857
378.4594474,Entire home/apt,FALSE,FALSE,3,FALSE,1,0,9,87,1,1.510462089,1.173691263,226.609157,11.99910543,296.9301482,20.69051993,4.88931,52.38661
